"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Congo, Rep.","COG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2236650376384","8.04587280318894","8.3506706732269","8.62577150387826","9.24514828949118","11.2088442168683","10.6500805475009","10.6177849186504","10.3939147756278","10.7089572965295","10.9596262702639","10.9840291661513","10.8891759035736","11.6478793555425","12.672108300562","",
"Colombia","COL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.6868212385103","75.8471989516553","76.2502108157522","76.6736722365437","77.1223700801977","70.8543232552035","78.1224689864064","78.6912050074421","79.3153664125412","80.0003604805767","83.2728260473574","94.2896102105318","82.2416219543259","82.9696537918379","83.6432979429868","88.8729062553177","84.7403968857815","85.1997014487685","86.9631576442588","83.7688341977495","86.2368917491084","85.5032362424115","87.0779685222172","90.0737701688794","89.8921485918582","91.7902476037553","92.7619951036113","92.740339650502","92.6166786649022","98.7630900448092","",
"Comoros","COM","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8805397711065","22.4304393678463","25.0082204275858","27.5858429848953","30.1600346395874","32.7265499534823","33.2156651303436","37.8196764866936","40.3372011687307","42.8235766320393","45.2822355424836","47.7237792857644","50.1592725900761","52.5991191995173","64.4452183378482","63.6139875792668","63.1180131732453","62.5959042442572","65.1687710058306","67.7622928174215","70.3712969082789","72.9907132992999","75.615300178644","78.2400869812606","",
"Cabo Verde","CPV","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7221073288337","37.6495418256002","40.3980400672379","42.4577695201441","46.0005950030177","48.880758123588","51.8428848910582","54.9188855383469","65.683637361963","62.0839682707465","65.5313310559148","69.4612986819788","73.5420890427616","77.7666368751611","82.1283914300834","86.6184368009024","91.2265535817751","95.9443867792687","",
"Costa Rica","CRI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.8155315214926","95.7712338023831","96.3225959210752","96.6684447645203","97.3414860893722","97.4430766860896","97.5626657895157","97.7203465037519","97.7674214012054","98.1623093660335","97.0903972730559","97.266061701668","98.1407669012913","98.4360252238108","98.2686965270273","97.6820170184508","98.4525935541358","98.8671640581567","98.9319462476461","98.8659947239468","",
"Caribbean small states","CSS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.6753455368269","72.2078682689501","73.0880491958768","77.066533011524","74.8733251626805","75.7817440438435","80.2801123657405","78.780193265243","83.5721103530375","83.156650866616","83.5690149091669","84.3456920236758","85.5425692604483","86.0866834298679","87.2539828826904","87.2719157803708","87.7977745490275","89.7021415879498","89.1265208600369","90.8034749846839","92.0295453127756","91.7084332989398","92.8809890280159","94.2060119037783","95.1999840578418","95.8820742108053","96.9213160039497","",
"Cuba","CUB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.8429300837064","85.2245913632359","82.2801950511331","86.7061753197395","87.4054204157594","88.0007506867861","88.4967152986762","88.930937340562","89.3430790467853","89.7739274917322","90.2641592097882","90.8555378413155","91.5803583819326","92.4453876124235","93.4222336981168","94.4751213321912","95.592498761567","96.7591669095443","97.9698406180299","99.4631471568193","",
"Curacao","CUW","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Cayman Islands","CYM","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Cyprus","CYP","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Czech Republic","CZE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Germany","DEU","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Djibouti","DJI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.268173606928","62.7042268640208","60.4289018318999","58.1876277844207","55.9589667075126","53.7153025818902","26.0991500816128","49.0718781543748","46.6157340537357","44.0340247086438","32.6496448397302","38.5475376398907","35.7233464769383","32.9015143983829","30.1080395275347","27.38034404885","22.066886277891","22.1950892717071","21.0384236030405","22.7149541620763","24.6562006934803","26.2950943253169","25.1127757306955","24.989391607492","",
"Dominica","DMA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","",
"Denmark","DNK","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Dominican Republic","DOM","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.3791751943256","66.3219813549619","67.592182917775","68.6034279252264","69.5674669507159","70.5748081215487","71.6346810345649","72.7515574291616","78.6783272433862","76.1583726890392","77.8279963845728","77.7692723585082","78.470572643608","80.205301718999","79.7276060830343","80.7390843908443","90.498955568127","92.6171962658451","92.9040052096996","93.5883700502661","92.4868186187297","92.2764947845155","93.441988695257","93.6398938872251","93.9166082482853","95.0371331480054","100","95.9013838831362","100","",
"Algeria","DZA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9352859575915","97.4294093337376","97.2867652034229","97.2080482033267","97.6737324903913","97.3222043783096","97.5048727781051","97.757974343332","98.3889001650303","99.0372361760154","98.9619459198031","98.6810562530181","",
"East Asia & Pacific (excluding high income)","EAP","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.5760873752493","89.9390629281817","88.6824212369749","88.6319175786721","90.1715596074735","89.3170707951539","90.8936898869375","90.7007891412205","91.3012269748362","91.625946961273","92.1944606693109","93.2418163444497","93.6307705715494","93.8886732073253","94.0587828402087","94.7458188675706","94.8105922695988","96.1463917151034","96.249012699188","96.5609622214822","",
"Early-demographic dividend","EAR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0517249286369","38.3748593119204","40.5486259693705","42.6767548162632","45.485306511112","47.9077793996676","51.5184586690214","50.5922528319124","48.7228985968724","53.5005909722729","54.5496557465888","55.5744938544762","55.9089859911553","58.6372750133412","61.6745597605381","62.1710960693959","64.4256340894869","66.1940105358826","60.0886159693995","69.7053414316443","70.5596969200709","72.0307047087507","76.6626132389222","78.9775735737785","82.2743544025612","84.7106185590405","87.3103896013082","",
